support,itemsets
0.062,"['crop_type_Lettuce', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.0596,"['yield_category_High', 'crop_type_Lettuce', 'annual_rainfall_category_High']"
0.069,"['planting_season_Spring', 'crop_type_Onions', 'annual_rainfall_category_High']"
0.063,"['planting_season_Spring', 'crop_type_Potatoes', 'annual_rainfall_category_High']"
0.0682,"['planting_season_Spring', 'crop_type_Rice', 'annual_rainfall_category_High']"
0.0672,"['yield_category_Medium', 'crop_type_Rice', 'annual_rainfall_category_High']"
0.0662,"['crop_type_Soybeans', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.061,"['yield_category_Low', 'crop_type_Soybeans', 'annual_rainfall_category_High']"
0.0626,"['planting_season_Spring', 'crop_type_Tomatoes', 'annual_rainfall_category_High']"
0.062,"['yield_category_VeryHigh', 'crop_type_Tomatoes', 'annual_rainfall_category_High']"
0.0678,"['planting_season_Spring', 'crop_type_Wheat', 'annual_rainfall_category_High']"
0.0674,"['planting_season_Spring', 'disease_pressure_High', 'annual_rainfall_category_High']"
0.055,"['fertilizer_type_Nitrogen_High', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0524,"['fertilizer_type_No_Fertilizer', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0564,"['fertilizer_type_Organic_Compost', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0592,"['fertilizer_type_Phosphorus_High', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0562,"['fertilizer_type_Potassium_High', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0646,"['fertilizer_type_Urea', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0632,"['irrigation_method_Drip_Irrigation', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0616,"['disease_pressure_Low', 'irrigation_method_Flood_Irrigation', 'annual_rainfall_category_High']"
0.0668,"['irrigation_method_Micro_Sprinkler', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.068,"['irrigation_method_Rainfall_Only', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0624,"['irrigation_method_Sprinkler', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0684,"['disease_pressure_Low', 'irrigation_method_Subsurface_Drip', 'annual_rainfall_category_High']"
0.2414,"['nitrogen_content_category_High', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0666,"['nitrogen_content_category_Low', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0824,"['nitrogen_content_category_Medium', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.1358,"['organic_matter_percent_category_High', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.1086,"['organic_matter_percent_category_Low', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.146,"['organic_matter_percent_category_Medium', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0774,"['pest_pressure_High', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.1876,"['pest_pressure_Low', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.1254,"['pest_pressure_Medium', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.3904,"['planting_season_Spring', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0982,"['profit_category_High', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.094,"['profit_category_Low', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0956,"['profit_category_Medium', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.1026,"['profit_category_VeryHigh', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0556,"['region_California_Central_Valley', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0556,"['region_Great_Plains', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0584,"['region_Midwest', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0518,"['region_Northeast', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0584,"['region_Pacific_Northwest', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0582,"['region_Southeast', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0524,"['region_Southwest', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.159,"['soil_ph_category_Alkaline', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.2306,"['soil_ph_category_Neutral', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0682,"['disease_pressure_Low', 'soil_type_Clay', 'annual_rainfall_category_High']"
0.066,"['soil_type_Clayey_Loam', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0686,"['soil_type_Loam', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0648,"['soil_type_Sandy', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0542,"['soil_type_Sandy_Loam', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0686,"['disease_pressure_Low', 'soil_type_Silt', 'annual_rainfall_category_High']"
0.0638,"['disease_pressure_Low', 'tillage_type_Conventional_Till', 'annual_rainfall_category_High']"
0.0616,"['tillage_type_Deep_Till', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0654,"['tillage_type_Minimum_Till', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0698,"['disease_pressure_Low', 'tillage_type_No_Till', 'annual_rainfall_category_High']"
0.069,"['tillage_type_Reduced_Till', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0608,"['tillage_type_Strip_Till', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0926,"['yield_category_High', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0968,"['yield_category_Low', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.0966,"['yield_category_Medium', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.1044,"['yield_category_VeryHigh', 'disease_pressure_Low', 'annual_rainfall_category_High']"
0.119,"['nitrogen_content_category_High', 'disease_pressure_Medium', 'annual_rainfall_category_High']"
0.0708,"['organic_matter_percent_category_High', 'disease_pressure_Medium', 'annual_rainfall_category_High']"
0.0548,"['disease_pressure_Medium', 'organic_matter_percent_category_Low', 'annual_rainfall_category_High']"
0.0684,"['organic_matter_percent_category_Medium', 'disease_pressure_Medium', 'annual_rainfall_category_High']"
0.1012,"['pest_pressure_Low', 'disease_pressure_Medium', 'annual_rainfall_category_High']"
0.0532,"['pest_pressure_Medium', 'disease_pressure_Medium', 'annual_rainfall_category_High']"
0.194,"['planting_season_Spring', 'disease_pressure_Medium', 'annual_rainfall_category_High']"
0.0506,"['disease_pressure_Medium', 'profit_category_High', 'annual_rainfall_category_High']"
0.0528,"['profit_category_Medium', 'disease_pressure_Medium', 'annual_rainfall_category_High']"
0.0736,"['soil_ph_category_Alkaline', 'disease_pressure_Medium', 'annual_rainfall_category_High']"
0.12,"['soil_ph_category_Neutral', 'disease_pressure_Medium', 'annual_rainfall_category_High']"
0.0512,"['yield_category_High', 'disease_pressure_Medium', 'annual_rainfall_category_High']"
0.052,"['yield_category_Medium', 'disease_pressure_Medium', 'annual_rainfall_category_High']"
0.0522,"['nitrogen_content_category_High', 'fertilizer_type_NPK_Balanced', 'annual_rainfall_category_High']"
0.084,"['planting_season_Spring', 'fertilizer_type_NPK_Balanced', 'annual_rainfall_category_High']"
0.0522,"['fertilizer_type_NPK_Balanced', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.054,"['nitrogen_content_category_High', 'fertilizer_type_Nitrogen_High', 'annual_rainfall_category_High']"
0.091,"['planting_season_Spring', 'fertilizer_type_Nitrogen_High', 'annual_rainfall_category_High']"
0.0556,"['fertilizer_type_Nitrogen_High', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0576,"['fertilizer_type_No_Fertilizer', 'nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.0902,"['fertilizer_type_No_Fertilizer', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.0514,"['fertilizer_type_No_Fertilizer', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0564,"['nitrogen_content_category_High', 'fertilizer_type_Organic_Compost', 'annual_rainfall_category_High']"
0.0938,"['planting_season_Spring', 'fertilizer_type_Organic_Compost', 'annual_rainfall_category_High']"
0.057,"['soil_ph_category_Neutral', 'fertilizer_type_Organic_Compost', 'annual_rainfall_category_High']"
0.0628,"['nitrogen_content_category_High', 'fertilizer_type_Phosphorus_High', 'annual_rainfall_category_High']"
0.0994,"['planting_season_Spring', 'fertilizer_type_Phosphorus_High', 'annual_rainfall_category_High']"
0.0628,"['fertilizer_type_Phosphorus_High', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0534,"['nitrogen_content_category_High', 'fertilizer_type_Potassium_High', 'annual_rainfall_category_High']"
0.0928,"['planting_season_Spring', 'fertilizer_type_Potassium_High', 'annual_rainfall_category_High']"
0.0528,"['soil_ph_category_Neutral', 'fertilizer_type_Potassium_High', 'annual_rainfall_category_High']"
0.0642,"['nitrogen_content_category_High', 'fertilizer_type_Urea', 'annual_rainfall_category_High']"
0.1006,"['planting_season_Spring', 'fertilizer_type_Urea', 'annual_rainfall_category_High']"
0.0594,"['fertilizer_type_Urea', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0712,"['nitrogen_content_category_High', 'irrigation_method_Drip_Irrigation', 'annual_rainfall_category_High']"
0.0542,"['pest_pressure_Low', 'irrigation_method_Drip_Irrigation', 'annual_rainfall_category_High']"
0.1098,"['planting_season_Spring', 'irrigation_method_Drip_Irrigation', 'annual_rainfall_category_High']"
0.0656,"['irrigation_method_Drip_Irrigation', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0616,"['nitrogen_content_category_High', 'irrigation_method_Flood_Irrigation', 'annual_rainfall_category_High']"
0.0506,"['pest_pressure_Low', 'irrigation_method_Flood_Irrigation', 'annual_rainfall_category_High']"
0.1034,"['planting_season_Spring', 'irrigation_method_Flood_Irrigation', 'annual_rainfall_category_High']"
0.0618,"['soil_ph_category_Neutral', 'irrigation_method_Flood_Irrigation', 'annual_rainfall_category_High']"
0.0664,"['nitrogen_content_category_High', 'irrigation_method_Micro_Sprinkler', 'annual_rainfall_category_High']"
0.0524,"['pest_pressure_Low', 'irrigation_method_Micro_Sprinkler', 'annual_rainfall_category_High']"
0.1088,"['planting_season_Spring', 'irrigation_method_Micro_Sprinkler', 'annual_rainfall_category_High']"
0.0644,"['soil_ph_category_Neutral', 'irrigation_method_Micro_Sprinkler', 'annual_rainfall_category_High']"
0.0708,"['nitrogen_content_category_High', 'irrigation_method_Rainfall_Only', 'annual_rainfall_category_High']"
0.0554,"['pest_pressure_Low', 'irrigation_method_Rainfall_Only', 'annual_rainfall_category_High']"
0.1102,"['planting_season_Spring', 'irrigation_method_Rainfall_Only', 'annual_rainfall_category_High']"
0.0686,"['irrigation_method_Rainfall_Only', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0628,"['nitrogen_content_category_High', 'irrigation_method_Sprinkler', 'annual_rainfall_category_High']"
0.0506,"['pest_pressure_Low', 'irrigation_method_Sprinkler', 'annual_rainfall_category_High']"
0.107,"['planting_season_Spring', 'irrigation_method_Sprinkler', 'annual_rainfall_category_High']"
0.0636,"['soil_ph_category_Neutral', 'irrigation_method_Sprinkler', 'annual_rainfall_category_High']"
0.0678,"['nitrogen_content_category_High', 'irrigation_method_Subsurface_Drip', 'annual_rainfall_category_High']"
0.0566,"['pest_pressure_Low', 'irrigation_method_Subsurface_Drip', 'annual_rainfall_category_High']"
0.1126,"['planting_season_Spring', 'irrigation_method_Subsurface_Drip', 'annual_rainfall_category_High']"
0.0672,"['soil_ph_category_Neutral', 'irrigation_method_Subsurface_Drip', 'annual_rainfall_category_High']"
0.1366,"['nitrogen_content_category_High', 'organic_matter_percent_category_High', 'annual_rainfall_category_High']"
0.111,"['nitrogen_content_category_High', 'organic_matter_percent_category_Low', 'annual_rainfall_category_High']"
0.153,"['nitrogen_content_category_High', 'organic_matter_percent_category_Medium', 'annual_rainfall_category_High']"
0.082,"['nitrogen_content_category_High', 'pest_pressure_High', 'annual_rainfall_category_High']"
0.2004,"['pest_pressure_Low', 'nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.1182,"['nitrogen_content_category_High', 'pest_pressure_Medium', 'annual_rainfall_category_High']"
0.4006,"['planting_season_Spring', 'nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.1024,"['nitrogen_content_category_High', 'profit_category_High', 'annual_rainfall_category_High']"
0.0998,"['nitrogen_content_category_High', 'profit_category_Low', 'annual_rainfall_category_High']"
0.1024,"['nitrogen_content_category_High', 'profit_category_Medium', 'annual_rainfall_category_High']"
0.096,"['profit_category_VeryHigh', 'nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.0566,"['region_California_Central_Valley', 'nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.0576,"['nitrogen_content_category_High', 'region_Great_Plains', 'annual_rainfall_category_High']"
0.0596,"['region_Midwest', 'nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.0532,"['region_Northeast', 'nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.0586,"['region_Pacific_Northwest', 'nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.0584,"['region_Southeast', 'nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.0566,"['nitrogen_content_category_High', 'region_Southwest', 'annual_rainfall_category_High']"
0.1624,"['soil_ph_category_Alkaline', 'nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.2378,"['nitrogen_content_category_High', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0644,"['nitrogen_content_category_High', 'soil_type_Clay', 'annual_rainfall_category_High']"
0.0726,"['nitrogen_content_category_High', 'soil_type_Clayey_Loam', 'annual_rainfall_category_High']"
0.073,"['nitrogen_content_category_High', 'soil_type_Loam', 'annual_rainfall_category_High']"
0.0648,"['nitrogen_content_category_High', 'soil_type_Sandy', 'annual_rainfall_category_High']"
0.0602,"['soil_type_Sandy_Loam', 'nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.0656,"['nitrogen_content_category_High', 'soil_type_Silt', 'annual_rainfall_category_High']"
0.068,"['nitrogen_content_category_High', 'tillage_type_Conventional_Till', 'annual_rainfall_category_High']"
0.0622,"['tillage_type_Deep_Till', 'nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.0616,"['tillage_type_Minimum_Till', 'nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.0752,"['nitrogen_content_category_High', 'tillage_type_No_Till', 'annual_rainfall_category_High']"
0.0736,"['tillage_type_Reduced_Till', 'nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.06,"['nitrogen_content_category_High', 'tillage_type_Strip_Till', 'annual_rainfall_category_High']"
0.0924,"['yield_category_High', 'nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.0992,"['yield_category_Low', 'nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.1048,"['yield_category_Medium', 'nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.1042,"['yield_category_VeryHigh', 'nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.1082,"['nitrogen_content_category_Low', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.0652,"['nitrogen_content_category_Low', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.055,"['nitrogen_content_category_Medium', 'organic_matter_percent_category_High', 'annual_rainfall_category_High']"
0.0516,"['nitrogen_content_category_Medium', 'organic_matter_percent_category_Medium', 'annual_rainfall_category_High']"
0.07,"['pest_pressure_Low', 'nitrogen_content_category_Medium', 'annual_rainfall_category_High']"
0.143,"['nitrogen_content_category_Medium', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.0544,"['soil_ph_category_Alkaline', 'nitrogen_content_category_Medium', 'annual_rainfall_category_High']"
0.0882,"['nitrogen_content_category_Medium', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.1142,"['pest_pressure_Low', 'organic_matter_percent_category_High', 'annual_rainfall_category_High']"
0.0714,"['pest_pressure_Medium', 'organic_matter_percent_category_High', 'annual_rainfall_category_High']"
0.232,"['planting_season_Spring', 'organic_matter_percent_category_High', 'annual_rainfall_category_High']"
0.0572,"['organic_matter_percent_category_High', 'profit_category_High', 'annual_rainfall_category_High']"
0.0502,"['profit_category_Low', 'organic_matter_percent_category_High', 'annual_rainfall_category_High']"
0.0632,"['profit_category_Medium', 'organic_matter_percent_category_High', 'annual_rainfall_category_High']"
0.0614,"['profit_category_VeryHigh', 'organic_matter_percent_category_High', 'annual_rainfall_category_High']"
0.092,"['soil_ph_category_Alkaline', 'organic_matter_percent_category_High', 'annual_rainfall_category_High']"
0.1394,"['soil_ph_category_Neutral', 'organic_matter_percent_category_High', 'annual_rainfall_category_High']"
0.0568,"['yield_category_High', 'organic_matter_percent_category_High', 'annual_rainfall_category_High']"
0.053,"['yield_category_Low', 'organic_matter_percent_category_High', 'annual_rainfall_category_High']"
0.0612,"['yield_category_Medium', 'organic_matter_percent_category_High', 'annual_rainfall_category_High']"
0.061,"['yield_category_VeryHigh', 'organic_matter_percent_category_High', 'annual_rainfall_category_High']"
0.0904,"['pest_pressure_Low', 'organic_matter_percent_category_Low', 'annual_rainfall_category_High']"
0.0548,"['pest_pressure_Medium', 'organic_matter_percent_category_Low', 'annual_rainfall_category_High']"
0.1804,"['planting_season_Spring', 'organic_matter_percent_category_Low', 'annual_rainfall_category_High']"
0.051,"['profit_category_Low', 'organic_matter_percent_category_Low', 'annual_rainfall_category_High']"
0.0766,"['soil_ph_category_Alkaline', 'organic_matter_percent_category_Low', 'annual_rainfall_category_High']"
0.1038,"['soil_ph_category_Neutral', 'organic_matter_percent_category_Low', 'annual_rainfall_category_High']"
0.0518,"['yield_category_Low', 'organic_matter_percent_category_Low', 'annual_rainfall_category_High']"
0.1152,"['pest_pressure_Low', 'organic_matter_percent_category_Medium', 'annual_rainfall_category_High']"
0.0744,"['organic_matter_percent_category_Medium', 'pest_pressure_Medium', 'annual_rainfall_category_High']"
0.2394,"['planting_season_Spring', 'organic_matter_percent_category_Medium', 'annual_rainfall_category_High']"
0.0632,"['organic_matter_percent_category_Medium', 'profit_category_High', 'annual_rainfall_category_High']"
0.0628,"['organic_matter_percent_category_Medium', 'profit_category_Low', 'annual_rainfall_category_High']"
0.0552,"['profit_category_Medium', 'organic_matter_percent_category_Medium', 'annual_rainfall_category_High']"
0.0582,"['profit_category_VeryHigh', 'organic_matter_percent_category_Medium', 'annual_rainfall_category_High']"
0.0908,"['soil_ph_category_Alkaline', 'organic_matter_percent_category_Medium', 'annual_rainfall_category_High']"
0.148,"['organic_matter_percent_category_Medium', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0618,"['yield_category_High', 'organic_matter_percent_category_Medium', 'annual_rainfall_category_High']"
0.06,"['yield_category_Low', 'organic_matter_percent_category_Medium', 'annual_rainfall_category_High']"
0.0586,"['yield_category_Medium', 'organic_matter_percent_category_Medium', 'annual_rainfall_category_High']"
0.059,"['yield_category_VeryHigh', 'organic_matter_percent_category_Medium', 'annual_rainfall_category_High']"
0.1314,"['planting_season_Spring', 'pest_pressure_High', 'annual_rainfall_category_High']"
0.0502,"['soil_ph_category_Alkaline', 'pest_pressure_High', 'annual_rainfall_category_High']"
0.081,"['soil_ph_category_Neutral', 'pest_pressure_High', 'annual_rainfall_category_High']"
0.3198,"['pest_pressure_Low', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.0792,"['pest_pressure_Low', 'profit_category_High', 'annual_rainfall_category_High']"
0.0804,"['pest_pressure_Low', 'profit_category_Low', 'annual_rainfall_category_High']"
0.0798,"['pest_pressure_Low', 'profit_category_Medium', 'annual_rainfall_category_High']"
0.0804,"['profit_category_VeryHigh', 'pest_pressure_Low', 'annual_rainfall_category_High']"
0.1288,"['pest_pressure_Low', 'soil_ph_category_Alkaline', 'annual_rainfall_category_High']"
0.1904,"['pest_pressure_Low', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0548,"['pest_pressure_Low', 'soil_type_Clay', 'annual_rainfall_category_High']"
0.053,"['pest_pressure_Low', 'soil_type_Clayey_Loam', 'annual_rainfall_category_High']"
0.0566,"['pest_pressure_Low', 'soil_type_Loam', 'annual_rainfall_category_High']"
0.0538,"['pest_pressure_Low', 'soil_type_Sandy', 'annual_rainfall_category_High']"
0.053,"['pest_pressure_Low', 'soil_type_Silt', 'annual_rainfall_category_High']"
0.054,"['pest_pressure_Low', 'tillage_type_Conventional_Till', 'annual_rainfall_category_High']"
0.05,"['pest_pressure_Low', 'tillage_type_Deep_Till', 'annual_rainfall_category_High']"
0.0516,"['pest_pressure_Low', 'tillage_type_Minimum_Till', 'annual_rainfall_category_High']"
0.0584,"['pest_pressure_Low', 'tillage_type_No_Till', 'annual_rainfall_category_High']"
0.0592,"['pest_pressure_Low', 'tillage_type_Reduced_Till', 'annual_rainfall_category_High']"
0.0746,"['pest_pressure_Low', 'yield_category_High', 'annual_rainfall_category_High']"
0.0788,"['yield_category_Low', 'pest_pressure_Low', 'annual_rainfall_category_High']"
0.087,"['pest_pressure_Low', 'yield_category_Medium', 'annual_rainfall_category_High']"
0.0794,"['pest_pressure_Low', 'yield_category_VeryHigh', 'annual_rainfall_category_High']"
0.2006,"['planting_season_Spring', 'pest_pressure_Medium', 'annual_rainfall_category_High']"
0.05,"['pest_pressure_Medium', 'profit_category_High', 'annual_rainfall_category_High']"
0.052,"['profit_category_Medium', 'pest_pressure_Medium', 'annual_rainfall_category_High']"
0.052,"['profit_category_VeryHigh', 'pest_pressure_Medium', 'annual_rainfall_category_High']"
0.0804,"['soil_ph_category_Alkaline', 'pest_pressure_Medium', 'annual_rainfall_category_High']"
0.1198,"['pest_pressure_Medium', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0512,"['yield_category_Medium', 'pest_pressure_Medium', 'annual_rainfall_category_High']"
0.0528,"['yield_category_VeryHigh', 'pest_pressure_Medium', 'annual_rainfall_category_High']"
0.1642,"['planting_season_Spring', 'profit_category_High', 'annual_rainfall_category_High']"
0.164,"['planting_season_Spring', 'profit_category_Low', 'annual_rainfall_category_High']"
0.166,"['planting_season_Spring', 'profit_category_Medium', 'annual_rainfall_category_High']"
0.1576,"['profit_category_VeryHigh', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.09,"['region_California_Central_Valley', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.0914,"['planting_season_Spring', 'region_Great_Plains', 'annual_rainfall_category_High']"
0.0956,"['region_Midwest', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.0874,"['region_Northeast', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.097,"['region_Pacific_Northwest', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.0996,"['region_Southeast', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.0908,"['planting_season_Spring', 'region_Southwest', 'annual_rainfall_category_High']"
0.2594,"['soil_ph_category_Alkaline', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.3912,"['planting_season_Spring', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.1078,"['planting_season_Spring', 'soil_type_Clay', 'annual_rainfall_category_High']"
0.1122,"['planting_season_Spring', 'soil_type_Clayey_Loam', 'annual_rainfall_category_High']"
0.1152,"['planting_season_Spring', 'soil_type_Loam', 'annual_rainfall_category_High']"
0.1088,"['planting_season_Spring', 'soil_type_Sandy', 'annual_rainfall_category_High']"
0.0982,"['soil_type_Sandy_Loam', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.1096,"['planting_season_Spring', 'soil_type_Silt', 'annual_rainfall_category_High']"
0.111,"['planting_season_Spring', 'tillage_type_Conventional_Till', 'annual_rainfall_category_High']"
0.107,"['tillage_type_Deep_Till', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.1032,"['tillage_type_Minimum_Till', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.1126,"['planting_season_Spring', 'tillage_type_No_Till', 'annual_rainfall_category_High']"
0.118,"['tillage_type_Reduced_Till', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.1,"['planting_season_Spring', 'tillage_type_Strip_Till', 'annual_rainfall_category_High']"
0.1652,"['yield_category_High', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.1648,"['yield_category_Low', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.1664,"['yield_category_Medium', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.1554,"['yield_category_VeryHigh', 'planting_season_Spring', 'annual_rainfall_category_High']"
0.0652,"['soil_ph_category_Alkaline', 'profit_category_High', 'annual_rainfall_category_High']"
0.099,"['soil_ph_category_Neutral', 'profit_category_High', 'annual_rainfall_category_High']"
0.0862,"['yield_category_High', 'profit_category_High', 'annual_rainfall_category_High']"
0.0642,"['soil_ph_category_Alkaline', 'profit_category_Low', 'annual_rainfall_category_High']"
0.0994,"['profit_category_Low', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.1266,"['yield_category_Low', 'profit_category_Low', 'annual_rainfall_category_High']"
0.0678,"['soil_ph_category_Alkaline', 'profit_category_Medium', 'annual_rainfall_category_High']"
0.0976,"['profit_category_Medium', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0968,"['yield_category_Medium', 'profit_category_Medium', 'annual_rainfall_category_High']"
0.0622,"['profit_category_VeryHigh', 'soil_ph_category_Alkaline', 'annual_rainfall_category_High']"
0.0952,"['profit_category_VeryHigh', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0524,"['profit_category_VeryHigh', 'yield_category_High', 'annual_rainfall_category_High']"
0.1052,"['profit_category_VeryHigh', 'yield_category_VeryHigh', 'annual_rainfall_category_High']"
0.0506,"['region_California_Central_Valley', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0578,"['soil_ph_category_Neutral', 'region_Great_Plains', 'annual_rainfall_category_High']"
0.0556,"['region_Midwest', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0546,"['region_Northeast', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0624,"['region_Pacific_Northwest', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0576,"['region_Southeast', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0526,"['region_Southwest', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0672,"['yield_category_High', 'soil_ph_category_Alkaline', 'annual_rainfall_category_High']"
0.0644,"['yield_category_Low', 'soil_ph_category_Alkaline', 'annual_rainfall_category_High']"
0.0686,"['yield_category_Medium', 'soil_ph_category_Alkaline', 'annual_rainfall_category_High']"
0.0592,"['yield_category_VeryHigh', 'soil_ph_category_Alkaline', 'annual_rainfall_category_High']"
0.0632,"['soil_ph_category_Neutral', 'soil_type_Clay', 'annual_rainfall_category_High']"
0.069,"['soil_ph_category_Neutral', 'soil_type_Clayey_Loam', 'annual_rainfall_category_High']"
0.0726,"['soil_type_Loam', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0636,"['soil_type_Sandy', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0598,"['soil_type_Sandy_Loam', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.063,"['soil_ph_category_Neutral', 'soil_type_Silt', 'annual_rainfall_category_High']"
0.0616,"['soil_ph_category_Neutral', 'tillage_type_Conventional_Till', 'annual_rainfall_category_High']"
0.064,"['tillage_type_Deep_Till', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0634,"['tillage_type_Minimum_Till', 'soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.0656,"['soil_ph_category_Neutral', 'tillage_type_No_Till', 'annual_rainfall_category_High']"
